,filename,hostname,vrf_name,description,address_family,import_type,import_id,export_type,export_id
1800,10.122.21.20,RAC_WNNSM21C,definition Mgmt-intf,,ipv6,,,,
1801,10.122.21.20,RAC_WNNSM21C,definition lte,,ipv4,,,,
1802,10.122.47.68,RAC_LR49M21C,definition Mgmt-intf,,ipv6,,,,
1803,10.122.47.68,RAC_LR49M21C,definition lte,,ipv4,,,,
1804,10.122.47.134,RAC_SPB5X21C,definition Mgmt-intf,,ipv6,,,,
1805,10.122.64.88,RAC_MSABP21C,definition Mgmt-intf,,ipv6,,,,
1806,10.122.43.69,RAC_KHTCM21C,definition Mgmt-intf,,ipv6,,,,
1807,10.122.43.69,RAC_KHTCM21C,definition lte,,ipv4,,,,
1808,10.124.211.5,RAC_SRE1M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1809,10.124.211.5,RAC_SRE1M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1810,10.122.65.188,RAC_MSUPM21C,definition Mgmt-intf,,ipv6,,,,
1811,10.122.65.188,RAC_MSUPM21C,definition lte,,ipv4,,,,
1812,10.122.18.86,RAC_LDMKP21C,definition Mgmt-intf,,ipv6,,,,
1813,10.122.27.167,RAC_LK13M21C,definition Mgmt-intf,,ipv6,,,,
1814,10.122.27.167,RAC_LK13M21C,definition lte,,ipv4,,,,
1815,10.122.14.217,RAC_SLM2M21C,definition Mgmt-intf,,ipv6,,,,
1816,10.122.14.217,RAC_SLM2M21C,definition lte,,ipv4,,,,
1817,10.122.35.181,RAC_THBPM21C,definition Mgmt-intf,,ipv6,,,,
1818,10.122.10.36,RAC_PRMTP21C,definition Mgmt-intf,,ipv6,,,,
1819,10.124.210.214,RAC_BK65M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1820,10.124.210.214,RAC_BK65M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1821,10.122.14.231,RAC_CAPHM21C,definition Mgmt-intf,,ipv6,,,,
1822,10.122.14.231,RAC_CAPHM21C,definition lte,,ipv4,,,,
1823,10.122.35.219,RAC_LN47M21C,definition Mgmt-intf,,ipv6,,,,
1824,10.122.35.219,RAC_LN47M21C,definition lte,,ipv4,,,,
1825,10.122.25.4,RAC_LO14P21C,definition Mgmt-intf,,ipv6,,,,
1826,10.122.10.219,RAC_SNTWM21C,definition Mgmt-intf,,ipv6,,,,
1827,10.122.10.219,RAC_SNTWM21C,definition lte,,ipv4,,,,
1828,10.122.34.232,RAC_RIV1B21C,definition Mgmt-intf,,ipv6,,,,
1829,10.122.43.25,RAC_TPOVP21C,definition Mgmt-intf,,ipv6,,,,
1830,10.124.209.248,RAC_S3Y2M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1831,10.124.209.248,RAC_S3Y2M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1832,10.122.33.5,RAC_WTF3P21C,definition Mgmt-intf,,ipv6,,,,
1833,10.124.34.20,RAC_NBJWP31C,definition Mgmt-intf,,ipv6,,,,
1834,10.122.48.25,RAC_SRCWM21C,definition Mgmt-intf,,ipv6,,,,
1835,10.122.48.25,RAC_SRCWM21C,definition lte,,ipv4,,,,
1836,10.122.26.90,RAC_CR11M21C,definition Mgmt-intf,,ipv6,,,,
1837,10.124.211.85,RAC_BRS1M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1838,10.124.211.85,RAC_BRS1M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1839,10.125.195.212,RAC_LK53M21C,definition Mgmt-intf,,ipv6,,,,
1840,10.125.195.212,RAC_LK53M21C,definition lte,,ipv4,,,,
1841,10.122.27.252,RAC_LZ42M21C,definition Mgmt-intf,,ipv6,,,,
1842,10.122.27.252,RAC_LZ42M21C,definition lte,,ipv4,,,,
1843,10.122.43.229,RAC_LLK3M21C,definition Mgmt-intf,,ipv6,,,,
1844,10.122.43.229,RAC_LLK3M21C,definition lte,,ipv4,,,,
1845,10.122.70.52,RAC_WAPRM21C,definition Mgmt-intf,,ipv6,,,,
1846,10.122.70.52,RAC_WAPRM21C,definition lte,,ipv4,,,,
1847,10.122.33.198,RAC_RKHRM21C,definition Mgmt-intf,,ipv6,,,,
1848,10.122.33.198,RAC_RKHRM21C,definition lte,,ipv4,,,,
1849,10.122.18.107,RAC_KTQ1P21C,definition Mgmt-intf,,ipv6,,,,
1850,10.122.15.182,RAC_CHSHM21C,definition Mgmt-intf,,ipv6,,,,
1851,10.122.15.182,RAC_CHSHM21C,definition lte,,ipv4,,,,
1852,10.122.44.44,RAC_CRNPM21C,definition Mgmt-intf,,ipv6,,,,
1853,10.122.44.44,RAC_CRNPM21C,definition lte,,ipv4,,,,
1854,10.122.9.58,RAC_SMCMP21C,definition Mgmt-intf,,ipv6,,,,
1855,10.122.30.165,RAC_MCTYM21C,definition Mgmt-intf,,ipv6,,,,
1856,10.122.30.165,RAC_MCTYM21C,definition lte,,ipv4,,,,
1857,10.122.31.105,RAC_BCNSM21C,definition Mgmt-intf,,ipv6,,,,
1858,10.122.31.105,RAC_BCNSM21C,definition lte,,ipv4,,,,
1859,10.122.67.86,RAC_SP34M21C,definition Mgmt-intf,,ipv6,,,,
1860,10.122.67.86,RAC_SP34M21C,definition lte,,ipv4,,,,
1861,10.122.12.105,RAC_CTPKP21C,definition Mgmt-intf,,ipv6,,,,
1862,10.122.12.105,RAC_CTPKP21C,definition lte,,ipv4,,,,
1863,10.122.23.202,RAC_PD31M21C,definition Mgmt-intf,,ipv6,,,,
1864,10.122.23.202,RAC_PD31M21C,definition lte,,ipv4,,,,
1865,10.125.195.197,RAC_PIANM21C,definition Mgmt-intf,,ipv6,,,,
1866,10.125.195.197,RAC_PIANM21C,definition lte,,ipv4,,,,
1867,10.122.19.254,RAC_CCCOB21C,definition Mgmt-intf,,ipv6,,,,
1868,10.122.18.166,RAC_PMKKM21C,definition Mgmt-intf,,ipv6,,,,
1869,10.122.18.166,RAC_PMKKM21C,definition lte,,ipv4,,,,
1870,10.122.42.105,RAC_WBNOM21C,definition Mgmt-intf,,ipv6,,,,
1871,10.122.26.180,RAC_TPOTM21C,definition Mgmt-intf,,ipv6,,,,
1872,10.122.26.180,RAC_TPOTM21C,definition lte,,ipv4,,,,
1873,10.124.213.147,RAC_LY18M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1874,10.124.213.147,RAC_LY18M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1875,10.124.211.7,RAC_TP15M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
1876,10.124.211.7,RAC_TP15M51C,Cisco_OAM,VRF For Cisco OAM NMS,ipv4 unicast,route-target,65005:100,route-target,65005:100
1877,10.122.11.199,RAC_SA01M21C,definition Mgmt-intf,,ipv6,,,,
1878,10.122.11.199,RAC_SA01M21C,definition lte,,ipv4,,,,
1879,10.122.41.11,RAC_K632M21C,definition Mgmt-intf,,ipv6,,,,
1880,10.122.48.119,RAC_PLPTB21C,definition Mgmt-intf,,ipv6,,,,
1881,10.122.11.103,RAC_KBLYM21C,definition Mgmt-intf,,ipv6,,,,
1882,10.122.11.103,RAC_KBLYM21C,definition lte,,ipv4,,,,
1883,10.122.10.5,RAC_BCFIP21C,definition Mgmt-intf,,ipv6,,,,
1884,10.124.210.25,RAC_SD18M51C,lte,VRF for lte,ipv4 unicast,route-target,65005:1800,route-target,65005:1800
